epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
0,0.087827,0.0093953,0.021179,0.00087921,0.35545,0.00064216,0.00016654,0.044778,0.0054059,0.012346,0.070114,0.0033207,0.0033207
1,0.060975,0.0065995,0.018085,0.0015162,0.7163,0.046362,0.011997,0.036808,0.0042658,0.012273,0.040048,0.0065882,0.0065882
2,0.057577,0.0056141,0.016945,0.080225,0.32678,0.064437,0.016914,0.038049,0.0036578,0.011763,0.0099159,0.0097896,0.0097896
3,0.058218,0.0048776,0.016558,0.32829,0.10147,0.11148,0.042017,0.036712,0.0038433,0.012703,0.009703,0.009703,0.009703
4,0.054975,0.0046127,0.015093,0.15793,0.19677,0.08582,0.03079,0.035568,0.0035255,0.010966,0.009703,0.009703,0.009703
5,0.052054,0.0043601,0.012986,0.21593,0.17343,0.1096,0.033384,0.039814,0.0032698,0.012764,0.009604,0.009604,0.009604
6,0.050351,0.0042241,0.0117,0.24815,0.26619,0.18694,0.067448,0.033005,0.0034489,0.0098735,0.009505,0.009505,0.009505
7,0.048208,0.0041487,0.0098299,0.2723,0.24704,0.18927,0.067475,0.033806,0.0034435,0.0098547,0.009406,0.009406,0.009406
8,0.047097,0.0041071,0.0075839,0.26547,0.23951,0.17753,0.051814,0.033264,0.0033083,0.011005,0.009307,0.009307,0.009307
9,0.045609,0.0039982,0.0063883,0.21268,0.24216,0.17081,0.061036,0.032374,0.003437,0.0097254,0.009208,0.009208,0.009208
10,0.045244,0.0038474,0.0045434,0.30069,0.31553,0.17544,0.064451,0.033366,0.0034559,0.020588,0.009109,0.009109,0.009109
11,0.043618,0.0038153,0.0050891,0.26365,0.27044,0.17449,0.056452,0.033592,0.0032784,0.010689,0.00901,0.00901,0.00901
12,0.041123,0.0037859,0.0043615,0.26408,0.30501,0.19591,0.068705,0.033137,0.003609,0.0079471,0.008911,0.008911,0.008911
13,0.041637,0.003694,0.0031704,0.26047,0.28062,0.18665,0.069237,0.03303,0.0032477,0.011403,0.008812,0.008812,0.008812
14,0.039689,0.0036249,0.0032856,0.35054,0.28086,0.2311,0.07941,0.03222,0.0032768,0.012514,0.008713,0.008713,0.008713
15,0.038118,0.0035328,0.0025639,0.47551,0.35921,0.30308,0.1121,0.031106,0.0030801,0.011086,0.008614,0.008614,0.008614
16,0.037619,0.003363,0.0017545,0.35983,0.35266,0.26621,0.096842,0.031335,0.003044,0.010436,0.008515,0.008515,0.008515
17,0.03629,0.0032637,0.0015867,0.34027,0.38729,0.28252,0.10983,0.029828,0.0029886,0.012336,0.008416,0.008416,0.008416
18,0.033417,0.0032808,0.0013563,0.41814,0.37012,0.31285,0.11982,0.02954,0.0030211,0.011554,0.008317,0.008317,0.008317
19,0.03316,0.0031222,0.001077,0.33292,0.30261,0.2341,0.095963,0.030202,0.0030852,0.012368,0.008218,0.008218,0.008218
20,0.032814,0.0030313,0.001038,0.37915,0.36124,0.26148,0.11136,0.030245,0.0031761,0.010376,0.008119,0.008119,0.008119
21,0.030883,0.0030012,0.0009558,0.43551,0.34437,0.32248,0.13734,0.029835,0.003013,0.012144,0.00802,0.00802,0.00802
22,0.030572,0.0028584,0.00082765,0.39254,0.36462,0.31194,0.12604,0.030365,0.0029958,0.0113,0.007921,0.007921,0.007921
23,0.029561,0.0028232,0.0010521,0.46636,0.34957,0.32864,0.13224,0.028977,0.0029662,0.01079,0.007822,0.007822,0.007822
24,0.028468,0.0027129,0.0007534,0.48136,0.34648,0.33301,0.15442,0.029816,0.0030931,0.010613,0.007723,0.007723,0.007723
25,0.027131,0.0027396,0.0010241,0.50578,0.2899,0.27974,0.1195,0.029851,0.0031115,0.011857,0.007624,0.007624,0.007624
26,0.026963,0.0027128,0.0010152,0.36091,0.26459,0.2537,0.11784,0.02971,0.0033375,0.011252,0.007525,0.007525,0.007525
27,0.026381,0.0026363,0.00070768,0.44252,0.37087,0.32097,0.14549,0.028438,0.0030192,0.010693,0.007426,0.007426,0.007426
28,0.026018,0.0025723,0.00083196,0.33948,0.33519,0.26205,0.12014,0.030031,0.003238,0.010941,0.007327,0.007327,0.007327
29,0.025681,0.0025234,0.00077962,0.44073,0.41265,0.33624,0.15066,0.028998,0.0030454,0.0085738,0.007228,0.007228,0.007228
30,0.025067,0.0024931,0.00083078,0.53255,0.27712,0.29086,0.11886,0.029817,0.0030614,0.011816,0.007129,0.007129,0.007129
31,0.024665,0.0024487,0.00057653,0.45147,0.38728,0.34815,0.15797,0.02812,0.0029149,0.012692,0.00703,0.00703,0.00703
32,0.024321,0.0023792,0.00059524,0.42906,0.34272,0.33243,0.14776,0.028435,0.0033665,0.011217,0.006931,0.006931,0.006931
33,0.023075,0.0022694,0.00054899,0.46435,0.36917,0.35057,0.1544,0.028942,0.0031015,0.011581,0.006832,0.006832,0.006832
34,0.02386,0.0022506,0.00068136,0.43528,0.32623,0.34046,0.15944,0.02915,0.0031085,0.013171,0.006733,0.006733,0.006733
35,0.023279,0.0022071,0.00057194,0.40813,0.34581,0.33101,0.15808,0.028586,0.0032504,0.011329,0.006634,0.006634,0.006634
36,0.022172,0.0021677,0.00052364,0.40472,0.41709,0.34846,0.16159,0.028114,0.0030741,0.011052,0.006535,0.006535,0.006535
37,0.021341,0.0021821,0.00064871,0.5853,0.33481,0.37895,0.15732,0.028546,0.0032433,0.011635,0.006436,0.006436,0.006436
38,0.021467,0.0021159,0.00053288,0.4177,0.32935,0.33791,0.16351,0.028544,0.0032006,0.011665,0.006337,0.006337,0.006337
39,0.021642,0.0021024,0.00087907,0.40166,0.35266,0.32721,0.15756,0.028561,0.0032859,0.012532,0.006238,0.006238,0.006238
40,0.020589,0.0020121,0.00048069,0.49691,0.40677,0.38566,0.17105,0.028508,0.0031589,0.011379,0.006139,0.006139,0.006139
41,0.019465,0.0019667,0.00038171,0.52637,0.38796,0.3845,0.18454,0.028743,0.0033127,0.011968,0.00604,0.00604,0.00604
42,0.019443,0.0019061,0.00044166,0.49338,0.40523,0.39177,0.19055,0.028088,0.0030855,0.011391,0.005941,0.005941,0.005941
43,0.018884,0.0018872,0.00044577,0.52166,0.35198,0.36389,0.17418,0.02795,0.0033281,0.01164,0.005842,0.005842,0.005842
44,0.018832,0.0018379,0.00049831,0.50796,0.38432,0.37496,0.19211,0.02832,0.0035188,0.011737,0.005743,0.005743,0.005743
45,0.018325,0.00179,0.00040707,0.59051,0.36462,0.41271,0.19784,0.027939,0.0032918,0.010887,0.005644,0.005644,0.005644
46,0.018442,0.0017988,0.00045872,0.56554,0.33922,0.38456,0.19467,0.028254,0.0033533,0.011464,0.005545,0.005545,0.005545
47,0.017351,0.0017755,0.00042603,0.49948,0.34648,0.36935,0.18316,0.02826,0.0035286,0.011678,0.005446,0.005446,0.005446
48,0.017596,0.0017525,0.00063507,0.46532,0.38661,0.36865,0.19071,0.027967,0.0032852,0.01152,0.005347,0.005347,0.005347
49,0.017562,0.001729,0.00042596,0.50259,0.39506,0.4015,0.2033,0.028456,0.0033677,0.011022,0.005248,0.005248,0.005248
50,0.016792,0.0017403,0.00039313,0.60607,0.35266,0.4129,0.20422,0.027527,0.0033416,0.010832,0.005149,0.005149,0.005149
51,0.015998,0.001663,0.00043483,0.67568,0.35025,0.42873,0.22617,0.027057,0.0032178,0.01037,0.00505,0.00505,0.00505
52,0.016,0.0016324,0.0003291,0.57835,0.3732,0.40697,0.2107,0.027731,0.0034019,0.011095,0.004951,0.004951,0.004951
53,0.014799,0.001588,0.00031171,0.61038,0.35673,0.414,0.21877,0.027676,0.0034372,0.011225,0.004852,0.004852,0.004852
54,0.01545,0.001591,0.00038644,0.55844,0.41369,0.4175,0.20582,0.026707,0.0033713,0.010907,0.004753,0.004753,0.004753
55,0.015802,0.0016458,0.00039867,0.54123,0.38824,0.41421,0.21059,0.027159,0.0033884,0.010102,0.004654,0.004654,0.004654
56,0.014957,0.0015288,0.00034079,0.58722,0.38533,0.42837,0.22674,0.027185,0.0034935,0.011559,0.004555,0.004555,0.004555
57,0.014595,0.0015297,0.00036566,0.62781,0.36553,0.40884,0.21501,0.027198,0.0034211,0.010252,0.004456,0.004456,0.004456
58,0.014497,0.0015496,0.00044533,0.63686,0.35208,0.41555,0.21967,0.027095,0.0034263,0.011169,0.004357,0.004357,0.004357
59,0.014592,0.0015368,0.00039123,0.5706,0.38661,0.4179,0.21373,0.027261,0.0033723,0.010626,0.004258,0.004258,0.004258
60,0.014644,0.001512,0.0003533,0.56598,0.37976,0.40793,0.20297,0.027741,0.0034042,0.011258,0.004159,0.004159,0.004159
61,0.014393,0.0014655,0.00035978,0.4948,0.3842,0.41053,0.21227,0.027504,0.0035251,0.011609,0.00406,0.00406,0.00406
62,0.013933,0.001439,0.00031561,0.57701,0.35225,0.3922,0.21151,0.027776,0.0036394,0.01094,0.003961,0.003961,0.003961
63,0.013612,0.0014691,0.00044673,0.49442,0.39673,0.37941,0.20558,0.0269,0.0035831,0.012332,0.003862,0.003862,0.003862
64,0.013211,0.0014093,0.00030428,0.572,0.34445,0.38639,0.2057,0.027292,0.0036308,0.01181,0.003763,0.003763,0.003763
65,0.012625,0.0013881,0.00031094,0.61715,0.33896,0.37759,0.20024,0.027289,0.0037491,0.011328,0.003664,0.003664,0.003664
66,0.012288,0.0013942,0.00029905,0.68158,0.30809,0.3772,0.20205,0.027417,0.0036467,0.010608,0.003565,0.003565,0.003565
67,0.011807,0.0013602,0.00025884,0.76288,0.30248,0.40279,0.2126,0.026782,0.0035777,0.011523,0.003466,0.003466,0.003466
68,0.012215,0.001352,0.00030361,0.4871,0.40807,0.41496,0.2175,0.027052,0.0034852,0.011039,0.003367,0.003367,0.003367
69,0.011975,0.0013246,0.00031564,0.58161,0.36741,0.40613,0.21089,0.027127,0.0036224,0.010893,0.003268,0.003268,0.003268
70,0.011463,0.0013173,0.00027572,0.51575,0.37908,0.39576,0.20983,0.027149,0.0035907,0.011457,0.003169,0.003169,0.003169
71,0.01162,0.0013025,0.00031603,0.56966,0.38179,0.39094,0.20933,0.027495,0.0038472,0.011831,0.00307,0.00307,0.00307
72,0.011384,0.0013013,0.00028748,0.50852,0.40648,0.40268,0.21576,0.026876,0.0036919,0.012579,0.002971,0.002971,0.002971
73,0.010952,0.0012917,0.00023345,0.57811,0.36568,0.38741,0.20756,0.027627,0.0038286,0.012015,0.002872,0.002872,0.002872
74,0.010604,0.0012625,0.00026628,0.52445,0.38371,0.41052,0.21953,0.027262,0.0036329,0.012758,0.002773,0.002773,0.002773
75,0.010449,0.0012616,0.00023315,0.63046,0.32352,0.38601,0.21458,0.027085,0.0037456,0.012905,0.002674,0.002674,0.002674
76,0.010213,0.0012383,0.00022702,0.49984,0.38796,0.39954,0.22138,0.027127,0.0037258,0.012463,0.002575,0.002575,0.002575
77,0.0097205,0.0012399,0.00024588,0.58778,0.37561,0.41667,0.22889,0.027102,0.0037155,0.012538,0.002476,0.002476,0.002476
78,0.0095607,0.0011862,0.00020845,0.54742,0.39722,0.40707,0.2281,0.026859,0.0037648,0.01316,0.002377,0.002377,0.002377
79,0.0097378,0.0012093,0.00022631,0.60168,0.35945,0.4096,0.22361,0.026944,0.0037703,0.012983,0.002278,0.002278,0.002278
80,0.0091054,0.0012195,0.00022095,0.58493,0.38796,0.41853,0.22819,0.026795,0.0036261,0.013046,0.002179,0.002179,0.002179
81,0.0091419,0.0011744,0.00032628,0.58464,0.39447,0.42475,0.23609,0.02657,0.0037171,0.013112,0.00208,0.00208,0.00208
82,0.0088842,0.0011638,0.00022378,0.52457,0.41709,0.41315,0.22573,0.026602,0.0037738,0.013572,0.001981,0.001981,0.001981
