epoch,train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss,x/lr0,x/lr1,x/lr2
0,0.087317,0.014809,0.011031,0.00024171,0.14836,0.00014939,3.8159e-05,0.043906,0.0091093,0.0067447,0.068244,0.0014515,0.0014515
1,0.058652,0.01207,0.0094431,0.23358,0.069254,0.077321,0.026605,0.0354,0.0070168,0.0061733,0.036341,0.0028818,0.0028818
2,0.049879,0.0091655,0.0088147,0.18315,0.32872,0.13112,0.041042,0.032415,0.0063192,0.005852,0.0044118,0.0042855,0.0042855
3,0.047165,0.0081479,0.008571,0.22257,0.10347,0.12487,0.044036,0.030589,0.0064983,0.0058949,0.0042509,0.0042509,0.0042509
4,0.043735,0.0076076,0.0080415,0.24237,0.34107,0.2254,0.092235,0.027877,0.0055442,0.005529,0.0042509,0.0042509,0.0042509
5,0.040904,0.0068851,0.0074071,0.2809,0.36335,0.23209,0.07785,0.028083,0.0053222,0.0054342,0.0042108,0.0042108,0.0042108
6,0.038593,0.0065752,0.0073477,0.29937,0.37155,0.24381,0.092613,0.027315,0.0053989,0.0054521,0.0041708,0.0041708,0.0041708
7,0.035007,0.00609,0.0064405,0.27221,0.38255,0.24455,0.091905,0.026584,0.0053525,0.0049885,0.0041307,0.0041307,0.0041307
8,0.034606,0.0058355,0.0052659,0.32567,0.43831,0.28943,0.11137,0.026912,0.0050679,0.0049321,0.0040907,0.0040907,0.0040907
9,0.032413,0.0055202,0.0040875,0.32933,0.45721,0.30403,0.11615,0.026829,0.0052294,0.0039459,0.0040506,0.0040506,0.0040506
10,0.032105,0.0051703,0.003227,0.4181,0.4466,0.32755,0.14062,0.026169,0.0051849,0.0039639,0.0040106,0.0040106,0.0040106
11,0.030588,0.004898,0.0025765,0.43042,0.42944,0.3532,0.13963,0.02751,0.0048574,0.004681,0.0039705,0.0039705,0.0039705
12,0.028871,0.0046656,0.0021307,0.50405,0.44011,0.40188,0.16183,0.026439,0.0051311,0.0041318,0.0039305,0.0039305,0.0039305
13,0.029485,0.004483,0.0018691,0.4315,0.40851,0.3632,0.1566,0.026421,0.0052346,0.0042546,0.0038904,0.0038904,0.0038904
14,0.027404,0.0042654,0.0016244,0.40882,0.43861,0.37027,0.15936,0.027419,0.0053442,0.0046079,0.0038504,0.0038504,0.0038504
15,0.025953,0.0040706,0.0012753,0.44734,0.51163,0.41117,0.18223,0.026505,0.0052208,0.0040997,0.0038103,0.0038103,0.0038103
16,0.026104,0.0038652,0.0013011,0.47506,0.43911,0.40367,0.15994,0.026962,0.0052963,0.004225,0.0037703,0.0037703,0.0037703
17,0.025424,0.0037779,0.0011577,0.41197,0.47708,0.39447,0.16696,0.025887,0.0056612,0.0039903,0.0037302,0.0037302,0.0037302
18,0.023757,0.0036476,0.0010641,0.43609,0.53508,0.44817,0.20946,0.025354,0.005035,0.0040956,0.0036902,0.0036902,0.0036902
19,0.023294,0.0035065,0.00087317,0.45682,0.48336,0.39754,0.17259,0.026628,0.0053891,0.0044261,0.0036502,0.0036502,0.0036502
20,0.023578,0.00343,0.00093369,0.53483,0.42191,0.40513,0.18723,0.026206,0.0054519,0.0041021,0.0036101,0.0036101,0.0036101
21,0.022169,0.0032912,0.00094063,0.50986,0.41092,0.42149,0.19445,0.026366,0.005745,0.0038926,0.0035701,0.0035701,0.0035701
22,0.02148,0.0031713,0.00080535,0.45397,0.45659,0.41983,0.18682,0.027745,0.0055151,0.0040617,0.00353,0.00353,0.00353
23,0.02105,0.0031236,0.00083699,0.49206,0.39413,0.38896,0.18743,0.025816,0.0053909,0.0052464,0.00349,0.00349,0.00349
24,0.020825,0.0030513,0.00071784,0.55322,0.40152,0.43426,0.21028,0.026684,0.0057914,0.004437,0.0034499,0.0034499,0.0034499
25,0.020106,0.0030171,0.00065253,0.64571,0.45713,0.50144,0.23284,0.02596,0.0056034,0.0037179,0.0034099,0.0034099,0.0034099
26,0.019589,0.0029247,0.00073388,0.48521,0.48867,0.43437,0.20856,0.026442,0.0063401,0.0037171,0.0033698,0.0033698,0.0033698
27,0.018263,0.0027981,0.00054683,0.55331,0.48503,0.4623,0.21102,0.026662,0.0062505,0.0036846,0.0033298,0.0033298,0.0033298
28,0.01935,0.0027818,0.00067855,0.49288,0.46474,0.44327,0.2122,0.025542,0.0062226,0.0033781,0.0032897,0.0032897,0.0032897
29,0.018112,0.0026662,0.00054546,0.54659,0.49871,0.49956,0.22705,0.025836,0.006136,0.002967,0.0032497,0.0032497,0.0032497
30,0.018192,0.0027005,0.00063816,0.50663,0.48385,0.45618,0.21634,0.025509,0.0060045,0.0039165,0.0032096,0.0032096,0.0032096
31,0.017701,0.0026531,0.00057187,0.55603,0.47121,0.48287,0.22786,0.026295,0.0060625,0.0032291,0.0031696,0.0031696,0.0031696
32,0.01774,0.0025694,0.00052022,0.54427,0.51268,0.47189,0.22742,0.025323,0.0062523,0.003537,0.0031295,0.0031295,0.0031295
33,0.017088,0.0025448,0.00050604,0.56447,0.48596,0.46537,0.22854,0.025814,0.0064183,0.0037771,0.0030895,0.0030895,0.0030895
34,0.017336,0.0024917,0.00052799,0.56309,0.47837,0.48967,0.23702,0.02575,0.0065828,0.0035754,0.0030495,0.0030495,0.0030495
35,0.016771,0.0024315,0.00054226,0.56333,0.45346,0.47478,0.23155,0.026036,0.0067115,0.0034204,0.0030094,0.0030094,0.0030094
36,0.016421,0.0024219,0.00048921,0.56798,0.46918,0.47909,0.23127,0.025005,0.0065306,0.0031498,0.0029694,0.0029694,0.0029694
37,0.016117,0.0023323,0.00052885,0.53915,0.49335,0.49972,0.24696,0.025417,0.0065763,0.003605,0.0029293,0.0029293,0.0029293
38,0.015552,0.0023184,0.0004831,0.54046,0.4978,0.49774,0.23089,0.026256,0.0064727,0.0033052,0.0028893,0.0028893,0.0028893
39,0.015376,0.0022906,0.0004436,0.56158,0.47362,0.46103,0.23952,0.025502,0.0064639,0.003509,0.0028492,0.0028492,0.0028492
40,0.015082,0.0022314,0.00042457,0.57668,0.47562,0.48681,0.25134,0.025713,0.0068784,0.0032769,0.0028092,0.0028092,0.0028092
41,0.014838,0.0022275,0.00051288,0.53668,0.50545,0.46434,0.22088,0.025469,0.0065352,0.0043467,0.0027691,0.0027691,0.0027691
42,0.015017,0.0021618,0.0004276,0.54428,0.50583,0.48723,0.23306,0.025661,0.0067369,0.0034983,0.0027291,0.0027291,0.0027291
43,0.014378,0.002157,0.00041245,0.66469,0.46706,0.49489,0.25113,0.024994,0.0067826,0.0041359,0.002689,0.002689,0.002689
44,0.014231,0.0021335,0.00043962,0.59643,0.50786,0.46915,0.22965,0.025944,0.0067435,0.0032787,0.002649,0.002649,0.002649
45,0.01465,0.0021155,0.00042938,0.56484,0.47048,0.47434,0.24727,0.025307,0.0066688,0.0033352,0.0026089,0.0026089,0.0026089
46,0.014637,0.0020988,0.00045468,0.536,0.52249,0.50936,0.257,0.025153,0.0066007,0.0032678,0.0025689,0.0025689,0.0025689
47,0.01352,0.0020736,0.00044257,0.57371,0.48799,0.46027,0.22986,0.025782,0.0072104,0.0035595,0.0025288,0.0025288,0.0025288
48,0.013356,0.0020521,0.00040723,0.56904,0.50545,0.49453,0.2526,0.025522,0.0070441,0.002924,0.0024888,0.0024888,0.0024888
49,0.013214,0.0020083,0.00035932,0.70248,0.41949,0.4633,0.23263,0.025839,0.0070137,0.0034452,0.0024487,0.0024487,0.0024487
50,0.01253,0.0019631,0.00034583,0.55016,0.48094,0.46248,0.23887,0.025791,0.0071221,0.0038413,0.0024087,0.0024087,0.0024087
51,0.012518,0.0019124,0.00035486,0.5636,0.48674,0.48838,0.2532,0.025252,0.0069242,0.0034539,0.0023687,0.0023687,0.0023687
52,0.012694,0.0019069,0.00040008,0.57428,0.44267,0.47221,0.24571,0.025609,0.0069215,0.0035277,0.0023286,0.0023286,0.0023286
53,0.012135,0.0019356,0.00034167,0.62802,0.41603,0.45985,0.23373,0.025481,0.0071788,0.0038341,0.0022886,0.0022886,0.0022886
54,0.012122,0.0018323,0.00035379,0.59421,0.4414,0.4812,0.24359,0.025404,0.0072207,0.0036706,0.0022485,0.0022485,0.0022485
55,0.011659,0.0018309,0.00030705,0.57737,0.45512,0.47037,0.24371,0.025264,0.0072502,0.0036271,0.0022085,0.0022085,0.0022085
56,0.011586,0.0018278,0.00031022,0.63299,0.42973,0.44503,0.22839,0.025907,0.0074149,0.0038528,0.0021684,0.0021684,0.0021684
57,0.011404,0.0017943,0.00031267,0.59566,0.43853,0.47227,0.23009,0.025259,0.0070754,0.004231,0.0021284,0.0021284,0.0021284
58,0.011125,0.001768,0.00028552,0.66938,0.41295,0.47379,0.23899,0.025572,0.0072537,0.0036363,0.0020883,0.0020883,0.0020883
59,0.011002,0.0017553,0.00030214,0.60548,0.42394,0.47946,0.25268,0.025264,0.0075799,0.0037506,0.0020483,0.0020483,0.0020483
60,0.010697,0.0016978,0.00031523,0.61466,0.45375,0.49211,0.25266,0.025454,0.0071266,0.0038587,0.0020082,0.0020082,0.0020082
61,0.010748,0.001702,0.00029698,0.59817,0.50181,0.49348,0.25251,0.025365,0.0071184,0.0038018,0.0019682,0.0019682,0.0019682
62,0.010635,0.0016854,0.00029617,0.59466,0.44208,0.47527,0.24598,0.025548,0.0073915,0.0035572,0.0019281,0.0019281,0.0019281
63,0.010496,0.0017419,0.00028388,0.65479,0.40348,0.47345,0.23889,0.025533,0.0071877,0.004358,0.0018881,0.0018881,0.0018881
64,0.0101,0.0016739,0.00027906,0.56781,0.45857,0.46657,0.23955,0.025555,0.0072603,0.0042796,0.001848,0.001848,0.001848
65,0.010173,0.0016387,0.0002828,0.58411,0.51268,0.49985,0.2474,0.025382,0.0068829,0.0040825,0.001808,0.001808,0.001808
66,0.010139,0.0016168,0.00027913,0.61955,0.50749,0.49743,0.25137,0.025447,0.0073074,0.0037491,0.001768,0.001768,0.001768
67,0.0095303,0.0015934,0.00028614,0.56636,0.46962,0.47439,0.23199,0.026052,0.0071162,0.0039948,0.0017279,0.0017279,0.0017279
68,0.0095689,0.001582,0.00028359,0.5729,0.49492,0.49268,0.23872,0.025407,0.0071068,0.0035404,0.0016879,0.0016879,0.0016879
69,0.0092851,0.0015206,0.00025541,0.53948,0.48596,0.47405,0.24218,0.025398,0.007383,0.0035442,0.0016478,0.0016478,0.0016478
70,0.0091947,0.0015392,0.00032504,0.57072,0.52409,0.50604,0.26177,0.025372,0.0071536,0.0035047,0.0016078,0.0016078,0.0016078
71,0.0094144,0.0015346,0.00029724,0.54377,0.49815,0.48419,0.2468,0.025462,0.0074053,0.003807,0.0015677,0.0015677,0.0015677
72,0.0089942,0.0015142,0.00027266,0.61791,0.44853,0.48253,0.24815,0.02528,0.0075853,0.0036987,0.0015277,0.0015277,0.0015277
73,0.0087875,0.0014989,0.00028304,0.56255,0.46109,0.4996,0.25789,0.025235,0.007341,0.0033477,0.0014876,0.0014876,0.0014876
74,0.008478,0.0014765,0.00026929,0.60332,0.49281,0.50627,0.25443,0.025025,0.0072026,0.0036146,0.0014476,0.0014476,0.0014476
75,0.0084791,0.0014783,0.00022926,0.59054,0.50516,0.50805,0.25606,0.025276,0.0072252,0.003417,0.0014075,0.0014075,0.0014075
76,0.0082861,0.0014692,0.00022499,0.60736,0.46609,0.50101,0.25113,0.025303,0.0072887,0.0033234,0.0013675,0.0013675,0.0013675
77,0.0079484,0.0014038,0.00021547,0.6184,0.4637,0.48657,0.25531,0.025084,0.0074518,0.0036439,0.0013274,0.0013274,0.0013274
78,0.0079605,0.001393,0.00024199,0.58494,0.50207,0.49743,0.2565,0.025336,0.0075953,0.0034633,0.0012874,0.0012874,0.0012874
79,0.0078948,0.0013707,0.00021421,0.56848,0.48085,0.49864,0.25257,0.025287,0.0075137,0.0035043,0.0012473,0.0012473,0.0012473
80,0.0075149,0.0013969,0.00021309,0.61207,0.45307,0.49771,0.24732,0.025121,0.0076947,0.0035605,0.0012073,0.0012073,0.0012073
81,0.0074223,0.0013882,0.00020114,0.56748,0.44931,0.4711,0.24361,0.025442,0.0076725,0.003606,0.0011672,0.0011672,0.0011672
82,0.0073188,0.0013973,0.0002154,0.57853,0.47535,0.49692,0.25095,0.025466,0.0072279,0.0036058,0.0011272,0.0011272,0.0011272
83,0.007125,0.0013332,0.00018753,0.57988,0.44313,0.47939,0.24444,0.025372,0.0075913,0.0037345,0.0010872,0.0010872,0.0010872
84,0.0068838,0.0013027,0.00019157,0.56704,0.45066,0.48802,0.25432,0.02528,0.0074268,0.0039452,0.0010471,0.0010471,0.0010471
85,0.0064195,0.0012569,0.00018571,0.56336,0.4767,0.48635,0.2558,0.025281,0.0077227,0.0037156,0.0010071,0.0010071,0.0010071
86,0.0065348,0.0012475,0.00019024,0.65037,0.4552,0.50393,0.26009,0.025642,0.0075819,0.0036768,0.00096701,0.00096701,0.00096701
87,0.006039,0.0012139,0.00018056,0.59513,0.49354,0.49637,0.25475,0.02538,0.0077089,0.0039352,0.00092697,0.00092697,0.00092697
88,0.0060262,0.0012077,0.00017016,0.58072,0.47911,0.49242,0.25272,0.025465,0.0076029,0.0037477,0.00088692,0.00088692,0.00088692
89,0.0059567,0.0012201,0.000168,0.6194,0.4929,0.49256,0.25268,0.025528,0.0076552,0.0038337,0.00084687,0.00084687,0.00084687
90,0.005944,0.0012052,0.00016675,0.60352,0.52262,0.49737,0.25799,0.02562,0.0077972,0.0039275,0.00080683,0.00080683,0.00080683
91,0.0061682,0.0012065,0.0002097,0.58592,0.50383,0.50127,0.25804,0.025396,0.0075417,0.0037696,0.00076678,0.00076678,0.00076678
92,0.0054068,0.0011737,0.00016447,0.63281,0.48068,0.50403,0.25671,0.025474,0.0075793,0.0036779,0.00072673,0.00072673,0.00072673
93,0.0053607,0.0011453,0.00015494,0.63329,0.47053,0.49647,0.25401,0.025667,0.0078432,0.003834,0.00068669,0.00068669,0.00068669
94,0.0051233,0.0011,0.0001485,0.62819,0.46744,0.50398,0.25847,0.025536,0.0078463,0.0038292,0.00064664,0.00064664,0.00064664
95,0.0049272,0.001122,0.00014956,0.58791,0.47434,0.50115,0.25861,0.025571,0.0079828,0.0038745,0.00060659,0.00060659,0.00060659
96,0.0047518,0.0010685,0.00013343,0.59719,0.49658,0.50375,0.26084,0.025544,0.0078159,0.0039097,0.00056655,0.00056655,0.00056655
97,0.0047759,0.0010895,0.00014873,0.60431,0.49551,0.50499,0.25475,0.025577,0.0078898,0.0039237,0.0005265,0.0005265,0.0005265
98,0.0045142,0.0010622,0.00012733,0.59527,0.48908,0.49898,0.25406,0.025645,0.0079078,0.0038668,0.00048645,0.00048645,0.00048645
99,0.0045218,0.001075,0.00012684,0.62933,0.48423,0.50734,0.26103,0.025643,0.0079059,0.0038919,0.00044641,0.00044641,0.00044641
