config,fold,mAP50,recall,precision,f1,mAP50_95
baseline,0,0.496,0.49,0.637,0.554,0.0
ga,0,0.729,0.697,0.827,0.756,0.0
baseline,1,0.255,0.391,0.511,0.443,0.0
ga,1,0.373,0.367,0.637,0.466,0.0
baseline,2,0.446,0.465,0.507,0.485,0.0
ga,2,0.458,0.387,0.616,0.476,0.0
baseline,3,0.502,0.392,0.813,0.529,0.0
ga,3,0.697,0.594,0.812,0.686,0.0
baseline,4,0.581,0.539,0.751,0.628,0.0
ga,4,0.656,0.555,0.663,0.604,0.0
baseline,5,0.39,0.555,0.518,0.536,0.0
ga,5,0.477,0.536,0.715,0.613,0.0
baseline,6,0.441,0.399,0.616,0.484,0.0
ga,6,0.644,0.591,0.732,0.654,0.0
baseline,7,0.441,0.413,0.683,0.514,0.0
ga,7,0.556,0.438,0.896,0.588,0.0
baseline,8,0.412,0.406,0.61,0.487,0.0
ga,8,0.615,0.566,0.719,0.633,0.0
baseline,9,0.564,0.537,0.708,0.611,0.0
ga,9,0.584,0.461,0.865,0.602,0.0
baseline,10,0.283,0.393,0.266,0.317,0.0
ga,10,0.302,0.347,0.772,0.479,0.0
baseline,11,0.563,0.558,0.779,0.65,0.0
ga,11,0.47,0.521,0.504,0.512,0.0
baseline,12,0.356,0.33,0.404,0.364,0.0
ga,12,0.656,0.634,0.736,0.681,0.0
baseline,13,0.488,0.45,0.533,0.488,0.0
ga,13,0.636,0.593,0.812,0.686,0.0
baseline,14,0.36,0.393,0.354,0.372,0.0
ga,14,0.451,0.461,0.459,0.46,0.0
baseline,15,0.214,0.324,0.289,0.306,0.0
ga,15,0.301,0.367,0.371,0.369,0.0
baseline,16,0.487,0.345,0.804,0.483,0.0
ga,16,0.663,0.633,0.738,0.682,0.0
baseline,17,0.498,0.496,0.635,0.557,0.0
ga,17,0.589,0.595,0.647,0.62,0.0
baseline,18,0.398,0.405,0.513,0.453,0.0
ga,18,0.431,0.386,0.554,0.455,0.0
baseline,19,0.264,0.292,0.414,0.342,0.0
ga,19,0.423,0.41,0.592,0.485,0.0
baseline,20,0.21,0.286,0.342,0.311,0.0
ga,20,0.313,0.371,0.378,0.375,0.0
baseline,21,0.555,0.584,0.529,0.556,0.0
ga,21,0.722,0.593,0.77,0.67,0.0
baseline,22,0.52,0.454,0.741,0.563,0.0
ga,22,0.529,0.404,0.903,0.558,0.0
baseline,23,0.466,0.502,0.585,0.54,0.0
ga,23,0.663,0.636,0.755,0.691,0.0
baseline,24,0.526,0.382,0.677,0.488,0.0
ga,24,0.656,0.546,0.693,0.611,0.0
baseline,25,0.266,0.261,0.35,0.299,0.0
ga,25,0.32,0.327,0.436,0.374,0.0
baseline,26,0.314,0.302,0.557,0.392,0.0
ga,26,0.359,0.455,0.378,0.413,0.0
baseline,27,0.405,0.329,0.614,0.429,0.0
ga,27,0.52,0.403,0.824,0.541,0.0
baseline,28,0.603,0.521,0.716,0.603,0.0
ga,28,0.699,0.742,0.612,0.671,0.0
baseline,29,0.431,0.417,0.657,0.51,0.0
ga,29,0.544,0.417,0.84,0.557,0.0
baseline,30,0.357,0.365,0.623,0.461,0.0
ga,30,0.426,0.402,0.646,0.496,0.0
baseline,31,0.386,0.339,0.712,0.459,0.0
ga,31,0.542,0.526,0.563,0.544,0.0
baseline,32,0.475,0.412,0.654,0.506,0.0
ga,32,0.486,0.462,0.606,0.524,0.0
baseline,33,0.212,0.307,0.32,0.313,0.0
ga,33,0.302,0.293,0.498,0.369,0.0
baseline,34,0.49,0.444,0.598,0.509,0.0
ga,34,0.468,0.474,0.73,0.575,0.0
baseline,35,0.514,0.459,0.759,0.572,0.0
ga,35,0.537,0.42,0.786,0.547,0.0
baseline,36,0.521,0.554,0.661,0.602,0.0
ga,36,0.721,0.63,0.723,0.673,0.0
baseline,37,0.38295,0.41667,0.55053,0.4743369212158809,0.19538
ga,37,0.44278,0.375,0.764,0.5030728709394205,0.21149
baseline,38,0.49914,0.48296,0.59781,0.5342826273860303,0.28564
ga,38,0.57803,0.45455,0.84424,0.5909335489186089,0.30448
baseline,39,0.54058,0.49866,0.83283,0.6238109303111551,0.33187
ga,39,0.5267,0.50538,0.54193,0.5230172220259524,0.33799
baseline,40,0.47823,0.44841,0.64006,0.5273628204727736,0.25061
ga,40,0.65001,0.56248,0.73357,0.636732307549863,0.37582
baseline,41,0.25337,0.35938,0.39045,0.3742712908259205,0.11804
ga,41,0.38685,0.29254,0.50048,0.3692477344833674,0.19997
baseline,42,0.47707,0.42196,0.75718,0.5419198276710144,0.2601
ga,42,0.59396,0.53411,0.73368,0.61818727833474,0.31314
baseline,43,0.23219,0.30893,0.3913,0.3452702940462419,0.12092
ga,43,0.35388,0.36071,0.44569,0.3987223211805555,0.19681
