stem,year,cls,w_pct,h_pct,area_pct,n_milco,n_nombo,background
0001_2010,2010,,,,,0,0,1
0001_2015,2015,MILCO,5.3711,2.9297,0.15736,3,3,0
0001_2015,2015,NOMBO,3.8086,5.4688,0.20828,3,3,0
0001_2015,2015,MILCO,2.1484,1.9531,0.04196,3,3,0
0001_2015,2015,MILCO,3.0273,1.9531,0.05913,3,3,0
0001_2015,2015,NOMBO,2.4414,1.7578,0.04292,3,3,0
0001_2015,2015,NOMBO,4.7852,2.7344,0.13084,3,3,0
0001_2017,2017,MILCO,4.2969,1.5625,0.06714,1,0,0
0001_2018,2018,,,,,0,0,1
0001_2021,2021,MILCO,3.4856,3.0048,0.10473,2,0,0
0001_2021,2021,MILCO,3.726,4.5673,0.17018,2,0,0
0002_2010,2010,,,,,0,0,1
0002_2015,2015,NOMBO,4.8077,2.7644,0.1329,3,2,0
0002_2015,2015,NOMBO,5.8894,3.6058,0.21236,3,2,0
0002_2015,2015,MILCO,6.0096,2.0433,0.12279,3,2,0
0002_2015,2015,MILCO,1.8029,0.9615,0.01734,3,2,0
0002_2015,2015,MILCO,1.6827,3.125,0.05258,3,2,0
0002_2017,2017,MILCO,4.6875,2.8846,0.13522,2,0,0
0002_2017,2017,MILCO,4.3269,1.5625,0.06761,2,0,0
0002_2018,2018,,,,,0,0,1
0002_2021,2021,,,,,0,0,1
0003_2010,2010,,,,,0,0,1
0003_2015,2015,NOMBO,4.7852,2.7344,0.13084,3,2,0
0003_2015,2015,NOMBO,5.8594,3.6133,0.21172,3,2,0
0003_2015,2015,MILCO,6.0547,2.0508,0.12417,3,2,0
0003_2015,2015,MILCO,1.7578,0.9766,0.01717,3,2,0
0003_2015,2015,MILCO,1.6602,3.125,0.05188,3,2,0
0003_2017,2017,MILCO,4.6875,2.832,0.13275,2,0,0
0003_2017,2017,MILCO,4.2969,1.5625,0.06714,2,0,0
0003_2018,2018,,,,,0,0,1
0003_2021,2021,MILCO,3.125,3.3654,0.10517,2,0,0
0003_2021,2021,MILCO,3.9663,2.4038,0.09534,2,0,0
0004_2010,2010,,,,,0,0,1
0004_2015,2015,MILCO,5.2734,2.7344,0.1442,4,1,0
0004_2015,2015,MILCO,4.9805,2.2461,0.11187,4,1,0
0004_2015,2015,MILCO,5.8594,3.6133,0.21172,4,1,0
0004_2015,2015,NOMBO,4.7852,6.8359,0.32711,4,1,0
0004_2015,2015,MILCO,2.1484,1.9531,0.04196,4,1,0
0004_2017,2017,MILCO,4.6875,2.832,0.13275,1,0,0
0004_2018,2018,,,,,0,0,1
0004_2021,2021,,,,,0,0,1
0005_2010,2010,,,,,0,0,1
